#filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
ia00123500_02013339_a1r.jpg,1614459,"{}",0,0,"{}","{}"
ia00123500_02013339_a1v.jpg,815408,"{}",4,0,"{""name"":""rect"",""x"":352,""y"":316,""width"":932,""height"":532}","{""artistic_style"":""French"",""creator_of_the_image_and_description_(owners_institution"":""Napoli, Bibilioteca Nazionale Vittorio Emanuele III"",""creator_of_the_image_and_description_(scholar)"":""Matilde Malaspina"",""date_that_the_image_was_made"":""12/09/2015"",""folio"":""a1v"",""iconclass"":""48C5156(+3551) frame of painting, etc. (+ woodcutting, wood-engraving ~ graphic arts);"",""internal_number_of_object"":""b"",""keywords"":""Border; Frame; Dots; Geometry;"",""name"":""ia00123500_02013339_a1v (1) border"",""state_of_conservation"":""Good"",""type_of_cut"":""Border""}"
ia00123500_02013339_a1v.jpg,815408,"{}",4,1,"{""name"":""rect"",""x"":396,""y"":356,""width"":832,""height"":432}","{""artistic_style"":""French"",""creator_of_the_image_and_description_(owners_institution"":""Napoli, Bibilioteca Nazionale Vittorio Emanuele III"",""creator_of_the_image_and_description_(scholar)"":""Matilde Malaspina"",""date_that_the_image_was_made"":""12/09/2015"",""folio"":""a1v"",""iconclass"":""85A(DE GALLO ET ASPIDE)FABLESOFAESOP(WITH TITLE); 25F1(+58) groups of animals (+ relations with neutral or friendly, non-aggressive character (expressive connotations ~ cock, chickens, turtle)); 34B232 fowl (cock, hen, chicken, etc.); 25F44 tortoises, turtles; 25G3 trees; 25II5 landscape with tower or castle - II - ideal landscapes; 25F33(VULTURE) predatory birds: vulture; 25F3 birds;"",""internal_number_of_object"":""c"",""keywords"":""Cock; Diamond; Turtle; Landscape; Tree; Birds;"",""name"":""ia00123500_02013339_a1v (1) center"",""state_of_conservation"":""Good"",""type_of_cut"":""Center""}"
ia00123500_02013339_a1v.jpg,815408,"{}",4,2,"{""name"":""rect"",""x"":392,""y"":1332,""width"":832,""height"":432}","{""artistic_style"":""French"",""creator_of_the_image_and_description_(owners_institution"":""Napoli, Bibilioteca Nazionale Vittorio Emanuele III"",""creator_of_the_image_and_description_(scholar)"":""Matilde Malaspina"",""date_that_the_image_was_made"":""12/09/2015"",""folio"":""a1v"",""iconclass"":""85A(DE LUPO ET AGNO) fables of Aesop (with TITLE); 25 FF21(+44) fabulous animals ~ domestic animals (+ relationship between animals); 25F23(WOLF)(+58) beasts of prey, predatory animals: wolf (+ relations with neutral or friendly, non-aggressive character (expressive connotations ~ animals)); 47I2133 lamb; 25II5 landscape with tower or castle - II - ideal landscapes; 25HH213 river - HH - ideal landscapes; 25II2451 bridge in village across river, canal, etc. - II - ideal landscapes"",""internal_number_of_object"":""c"",""keywords"":""Wolf; Lamb; River; Castle; Bridge"",""name"":""ia00123500_02013339_a1v (2) center"",""state_of_conservation"":""Good"",""type_of_cut"":""Center""}"
ia00123500_02013339_a1v.jpg,815408,"{}",4,3,"{""name"":""rect"",""x"":336,""y"":1284,""width"":932,""height"":532}","{""artistic_style"":""French"",""creator_of_the_image_and_description_(owners_institution"":""Napoli, Bibilioteca Nazionale Vittorio Emanuele III"",""creator_of_the_image_and_description_(scholar)"":""Matilde Malaspina"",""date_that_the_image_was_made"":""12/09/2015"",""folio"":""a1v"",""iconclass"":""48C5156(+3551) frame of painting, etc. (+ woodcutting, wood-engraving ~ graphic arts);"",""internal_number_of_object"":""b"",""keywords"":""Border; Frame; Dots; Geometry;"",""name"":""ia00123500_02013339_a1v (2) border"",""state_of_conservation"":""Good"",""type_of_cut"":""Border""}"
ia00123500_02013339_a2r.jpg,768016,"{}",2,0,"{""name"":""rect"",""x"":388,""y"":1132,""width"":828,""height"":404}","{""artistic_style"":""French"",""creator_of_the_image_and_description_(owners_institution"":""Napoli, Bibilioteca Nazionale Vittorio Emanuele III"",""creator_of_the_image_and_description_(scholar)"":""Matilde Malaspina"",""date_that_the_image_was_made"":""12/09/2015"",""folio"":""a2r"",""iconclass"":""85A(DE MURE RANA ET MILUO) fables of Aesop (with TITLE); 25FF26(MOUSE)(+58) rodents: mouse - FF - fabulous animals (sometimes wrongly called 'grotesques'); 'Mostri' (Ripa) (+ relations with neutral or friendly, non-aggressive character (expressive connotations ~ animals)); 25F51(FROG)(+58) tailless amphibians: frog (+ relations with neutral or friendly, non-aggressive character (expressive connotations ~ animals)); 25HH213 river - HH - ideal landscapes; 25F33(EAGLE)(+512) predatory birds: eagle (+ animal(s) attacking)"",""internal_number_of_object"":""c"",""keywords"":""Wolf; Lamb; River; Castle; Bridge"",""name"":""ia00123500_02013339_a2r center"",""state_of_conservation"":""Good"",""type_of_cut"":""Center""}"
ia00123500_02013339_a2r.jpg,768016,"{}",2,1,"{""name"":""rect"",""x"":344,""y"":1072,""width"":932,""height"":532}","{""artistic_style"":""French"",""creator_of_the_image_and_description_(owners_institution"":""Napoli, Bibilioteca Nazionale Vittorio Emanuele III"",""creator_of_the_image_and_description_(scholar)"":""Matilde Malaspina"",""date_that_the_image_was_made"":""12/09/2015"",""folio"":""a2r"",""iconclass"":""48C5156(+3551) frame of painting, etc. (+ woodcutting, wood-engraving ~ graphic arts);"",""internal_number_of_object"":""b"",""keywords"":""Border; Frame; Dots; Geometry;"",""name"":""ia00123500_02013339_a2r border"",""state_of_conservation"":""Good"",""type_of_cut"":""Border""}"
ia00123500_02013339_a2v.jpg,851982,"{}",2,0,"{""name"":""rect"",""x"":384,""y"":968,""width"":828,""height"":404}","{""artistic_style"":""French"",""creator_of_the_image_and_description_(owners_institution"":""Napoli, Bibilioteca Nazionale Vittorio Emanuele III"",""creator_of_the_image_and_description_(scholar)"":""Matilde Malaspina"",""date_that_the_image_was_made"":""12/09/2015"",""folio"":""a2v"",""iconclass"":""85A(DE CANE ET OVE) fables of Aesop (with TITLE); 34B11(+944) dog (+ relationship between animals); 34B11(+958) dog (+ relations with neutral or friendly, non-aggressive character (expressive connotations ~ animals)); F22(...)(+58) monkeys, apes (with NAME) (+ relations with neutral or friendly, non-aggressive character (expressive connotations ~ animals)); 25F22 monkeys, apes; 25F23(WOLF) beasts of prey, predatory animals: wolf; 25F23(WOLF)(+58) beasts of prey, predatory animals: wolf (+ relations with neutral or friendly, non-aggressive character (expressive connotations ~ animals)); 47I213 sheep; 25F21(+58) groups of mammals (+ relations with neutral or friendly, non-aggressive character (expressive connotations ~ animals)); 25II5 landscape with tower or castle - II - ideal landscapes; 25FF33(VULTURE)(+44) predatory birds: vulture - FF - fabulous animals (sometimes wrongly called 'grotesques'); 'Mostri' (Ripa) (+ relationship between animals)"",""internal_number_of_object"":""c"",""keywords"":""Wolf; Dog; Monkey; Sheep; Eagle;"",""name"":""ia00123500_02013339_a2v center"",""state_of_conservation"":""Good"",""type_of_cut"":""Center""}"
ia00123500_02013339_a2v.jpg,851982,"{}",2,1,"{""name"":""rect"",""x"":336,""y"":896,""width"":932,""height"":532}","{""artistic_style"":""French"",""creator_of_the_image_and_description_(owners_institution"":""Napoli, Bibilioteca Nazionale Vittorio Emanuele III"",""creator_of_the_image_and_description_(scholar)"":""Matilde Malaspina"",""date_that_the_image_was_made"":""12/09/2015"",""folio"":""a2v"",""iconclass"":""48C5156(+3551) frame of painting, etc. (+ woodcutting, wood-engraving ~ graphic arts);"",""internal_number_of_object"":""b"",""keywords"":""Border; Frame; Dots; Geometry;"",""name"":""ia00123500_02013339_a2v border"",""state_of_conservation"":""Good"",""type_of_cut"":""Border""}"
ia00123500_02013339_a3r.jpg,874159,"{}",4,0,"{""name"":""rect"",""x"":312,""y"":1256,""width"":932,""height"":532}","{""artistic_style"":""French"",""creator_of_the_image_and_description_(owners_institution"":""Napoli, Bibilioteca Nazionale Vittorio Emanuele III"",""creator_of_the_image_and_description_(scholar)"":""Matilde Malaspina"",""date_that_the_image_was_made"":""12/09/2015"",""folio"":""a3r"",""iconclass"":""48C5156(+3551) frame of painting, etc. (+ woodcutting, wood-engraving ~ graphic arts);"",""internal_number_of_object"":""b"",""keywords"":""Border; Frame; Dots; Geometry;"",""name"":""ia00123500_02013339_a3r (2) border"",""state_of_conservation"":""Good"",""type_of_cut"":""Border""}"
ia00123500_02013339_a3r.jpg,874159,"{}",4,1,"{""name"":""rect"",""x"":308,""y"":408,""width"":932,""height"":532}","{""artistic_style"":""French"",""creator_of_the_image_and_description_(owners_institution"":""Napoli, Bibilioteca Nazionale Vittorio Emanuele III"",""creator_of_the_image_and_description_(scholar)"":""Matilde Malaspina"",""date_that_the_image_was_made"":""12/09/2015"",""folio"":""a3r"",""iconclass"":""48C5156(+3551) frame of painting, etc. (+ woodcutting, wood-engraving ~ graphic arts);"",""internal_number_of_object"":""b"",""keywords"":""Border; Frame; Dots; Geometry;"",""name"":""ia00123500_02013339_a3r (1) border"",""state_of_conservation"":""Good"",""type_of_cut"":""Border""}"
